index,Value
2021-07-14,66.69630064516129
2021-07-15,67.2940035483871
2021-07-16,67.8917064516129
2021-07-17,68.4894093548387
2021-07-18,69.08711225806451
2021-07-19,69.68481516129032
2021-07-20,70.28251806451613
2021-07-21,70.88022096774193
2021-07-22,71.47792387096774
2021-07-23,72.07562677419354
2021-07-24,72.67332967741935
2021-07-25,73.27103258064516
2021-07-26,73.86873548387096
2021-07-27,74.46643838709677
2021-07-28,75.06414129032257
2021-07-29,75.66184419354838
2021-07-30,76.25954709677418
2021-07-31,76.85725
2021-08-01,76.60887548387096
2021-08-02,76.36050096774193
2021-08-03,76.1121264516129
2021-08-04,75.86375193548386
2021-08-05,75.61537741935483
2021-08-06,75.3670029032258
2021-08-07,75.11862838709676
2021-08-08,74.87025387096774
2021-08-09,74.62187935483871
2021-08-10,74.37350483870968
2021-08-11,74.12513032258065
2021-08-12,73.87675580645161
2021-08-13,73.62838129032258
2021-08-14,73.38000677419355
2021-08-15,73.13163225806451
2021-08-16,72.88325774193548
2021-08-17,72.63488322580645
2021-08-18,72.38650870967741
2021-08-19,72.13813419354838
2021-08-20,71.88975967741935
2021-08-21,71.64138516129032
2021-08-22,71.39301064516128
2021-08-23,71.14463612903225
2021-08-24,70.89626161290323
2021-08-25,70.6478870967742
2021-08-26,70.39951258064517
2021-08-27,70.15113806451613
2021-08-28,69.9027635483871
2021-08-29,69.65438903225807
2021-08-30,69.40601451612903
2021-08-31,69.15764
2021-09-01,68.48303966666667
2021-09-02,67.80843933333334
2021-09-03,67.133839
2021-09-04,66.45923866666666
2021-09-05,65.78463833333333
2021-09-06,65.110038
2021-09-07,64.43543766666667
2021-09-08,63.760837333333335
2021-09-09,63.086237
2021-09-10,62.411636666666666
2021-09-11,61.737036333333336
2021-09-12,61.062436
2021-09-13,60.38783566666667
2021-09-14,59.71323533333333
2021-09-15,59.038635
2021-09-16,58.36403466666667
2021-09-17,57.68943433333333
2021-09-18,57.014834
2021-09-19,56.34023366666666
2021-09-20,55.66563333333333
2021-09-21,54.991033
2021-09-22,54.316432666666664
2021-09-23,53.64183233333333
2021-09-24,52.967231999999996
2021-09-25,52.292631666666665
2021-09-26,51.618031333333334
2021-09-27,50.943431
2021-09-28,50.26883066666666
2021-09-29,49.59423033333333
2021-09-30,48.91963
2021-10-01,48.63016870967742
2021-10-02,48.340707419354835
2021-10-03,48.05124612903226
2021-10-04,47.76178483870967
2021-10-05,47.472323548387095
2021-10-06,47.18286225806452
2021-10-07,46.89340096774193
2021-10-08,46.603939677419355
2021-10-09,46.31447838709677
2021-10-10,46.02501709677419
2021-10-11,45.735555806451615
2021-10-12,45.44609451612903
2021-10-13,45.15663322580645
2021-10-14,44.86717193548387
2021-10-15,44.57771064516129
2021-10-16,44.28824935483871
2021-10-17,43.99878806451613
2021-10-18,43.70932677419355
2021-10-19,43.41986548387097
2021-10-20,43.13040419354839
2021-10-21,42.84094290322581
2021-10-22,42.551481612903224
2021-10-23,42.262020322580646
2021-10-24,41.97255903225807
2021-10-25,41.683097741935484
2021-10-26,41.393636451612906
2021-10-27,41.10417516129033
2021-10-28,40.81471387096774
2021-10-29,40.525252580645166
2021-10-30,40.23579129032258
2021-10-31,39.94633
2021-11-01,39.393211
2021-11-02,38.840092000000006
2021-11-03,38.286973
2021-11-04,37.733854
2021-11-05,37.180735000000006
2021-11-06,36.627616
2021-11-07,36.074497
2021-11-08,35.521378
2021-11-09,34.968259
2021-11-10,34.41514
2021-11-11,33.862021
2021-11-12,33.308902
2021-11-13,32.755783
2021-11-14,32.202664
2021-11-15,31.649545000000003
2021-11-16,31.096426
2021-11-17,30.543307
2021-11-18,29.990188
2021-11-19,29.437069
2021-11-20,28.88395
2021-11-21,28.330831
2021-11-22,27.777712
2021-11-23,27.224593
2021-11-24,26.671474
2021-11-25,26.118355
2021-11-26,25.565236
2021-11-27,25.012117
2021-11-28,24.458998
2021-11-29,23.905879
2021-11-30,23.35276
2021-12-01,24.932520322580643
2021-12-02,26.51228064516129
2021-12-03,28.092040967741934
2021-12-04,29.67180129032258
2021-12-05,31.251561612903224
2021-12-06,32.83132193548387
2021-12-07,34.41108225806451
2021-12-08,35.99084258064516
2021-12-09,37.570602903225804
2021-12-10,39.15036322580645
2021-12-11,40.7301235483871
2021-12-12,42.30988387096774
2021-12-13,43.889644193548385
2021-12-14,45.46940451612903
2021-12-15,47.04916483870967
2021-12-16,48.62892516129032
2021-12-17,50.208685483870966
2021-12-18,51.788445806451605
2021-12-19,53.36820612903225
2021-12-20,54.9479664516129
2021-12-21,56.52772677419354
2021-12-22,58.10748709677419
2021-12-23,59.68724741935483
2021-12-24,61.26700774193547
2021-12-25,62.84676806451613
2021-12-26,64.42652838709677
2021-12-27,66.0062887096774
2021-12-28,67.58604903225806
2021-12-29,69.1658093548387
2021-12-30,70.74556967741935
2021-12-31,72.32533
2022-01-01,72.25109322580644
2022-01-02,72.17685645161289
2022-01-03,72.10261967741936
2022-01-04,72.0283829032258
2022-01-05,71.95414612903225
2022-01-06,71.8799093548387
2022-01-07,71.80567258064515
2022-01-08,71.73143580645161
2022-01-09,71.65719903225806
2022-01-10,71.58296225806451
2022-01-11,71.50872548387096
2022-01-12,71.43448870967741
2022-01-13,71.36025193548387
2022-01-14,71.28601516129032
2022-01-15,71.21177838709677
2022-01-16,71.13754161290322
2022-01-17,71.06330483870967
2022-01-18,70.98906806451612
2022-01-19,70.91483129032258
2022-01-20,70.84059451612903
2022-01-21,70.76635774193548
2022-01-22,70.69212096774193
2022-01-23,70.61788419354838
2022-01-24,70.54364741935484
2022-01-25,70.46941064516129
2022-01-26,70.39517387096774
2022-01-27,70.32093709677419
2022-01-28,70.24670032258064
2022-01-29,70.1724635483871
2022-01-30,70.09822677419355
2022-01-31,70.02399
2022-02-01,70.78015571428571
2022-02-02,71.53632142857143
2022-02-03,72.29248714285714
2022-02-04,73.04865285714286
2022-02-05,73.80481857142857
2022-02-06,74.56098428571428
2022-02-07,75.31715
2022-02-08,76.07331571428571
2022-02-09,76.82948142857143
