"Date","Price","Open","High","Low","Vol.","Change %"
"25-05-2022","228.80","228.45","232.45","226.55","620.41K","0.13%"
"24-05-2022","228.50","232.25","236.95","227.00","385.46K","-1.61%"
"23-05-2022","232.25","240.95","241.00","231.00","965.63K","-2.99%"
"20-05-2022","239.40","241.00","241.50","236.70","851.25K","-0.75%"
"19-05-2022","241.20","232.70","242.70","229.05","1.29M","1.05%"
"18-05-2022","238.70","242.75","245.60","234.50","2.23M","-1.18%"
"17-05-2022","241.55","226.00","248.00","223.25","4.89M","8.46%"
"16-05-2022","222.70","220.50","224.80","220.10","614.32K","1.02%"
"13-05-2022","220.45","226.50","226.50","218.85","1.00M","-1.19%"
"12-05-2022","223.10","220.50","225.95","216.10","1.42M","1.18%"
"11-05-2022","220.50","214.70","224.20","210.75","1.90M","2.44%"
"10-05-2022","215.25","233.70","234.05","213.85","2.08M","-8.95%"
"09-05-2022","236.40","228.40","238.55","225.10","1.69M","2.83%"
"06-05-2022","229.90","226.45","233.85","222.65","2.67M","1.34%"
"05-05-2022","226.85","225.90","231.00","224.30","1.63M","2.28%"
"04-05-2022","221.80","221.00","225.50","221.00","1.21M","0.96%"
"02-05-2022","219.70","228.45","229.50","219.10","1.41M","-3.83%"
"29-04-2022","228.45","232.40","234.75","227.10","1.24M","-0.44%"
"28-04-2022","229.45","231.90","236.90","228.00","1.51M","-0.67%"
"27-04-2022","231.00","236.00","240.00","230.10","1.45M","-1.72%"
"26-04-2022","235.05","234.80","241.50","233.60","2.04M","0.90%"
"25-04-2022","232.95","235.00","238.90","230.05","1.53M","-2.49%"
"22-04-2022","238.90","238.40","247.40","237.10","2.20M","-0.46%"
"21-04-2022","240.00","245.00","245.80","238.55","1.66M","-0.70%"
"20-04-2022","241.70","244.00","248.85","239.80","2.75M","0.56%"
"19-04-2022","240.35","238.00","251.00","236.55","5.19M","1.91%"
"18-04-2022","235.85","238.00","240.00","234.40","1.20M","1.24%"
"13-04-2022","232.95","234.90","239.35","231.50","1.60M","1.13%"
"12-04-2022","230.35","235.95","238.00","229.00","1.39M","-2.19%"
"11-04-2022","235.50","235.00","238.50","234.45","883.39K","0.23%"
"08-04-2022","234.95","240.30","240.30","234.30","799.04K","-1.26%"
"07-04-2022","237.95","237.50","243.65","237.05","1.34M","0.30%"
"06-04-2022","237.25","238.40","241.90","236.40","1.12M","-0.27%"
"05-04-2022","237.90","240.10","240.85","237.00","703.64K","0.32%"
"04-04-2022","237.15","238.85","244.40","236.25","1.08M","-0.71%"
"01-04-2022","238.85","238.50","241.55","235.25","3.69M","0.19%"
"31-03-2022","238.40","228.90","239.75","228.25","1.90M","4.70%"
"30-03-2022","227.70","231.60","231.75","224.05","1.55M","-1.79%"
"29-03-2022","231.85","233.50","235.00","228.20","1.06M","-0.75%"
"28-03-2022","233.60","235.60","239.00","232.50","992.54K","-0.45%"
"25-03-2022","234.65","235.00","236.70","232.00","1.15M","-0.34%"
"24-03-2022","235.45","235.00","238.85","232.55","3.20M","2.55%"
"23-03-2022","229.60","235.00","235.00","228.40","1.30M","-0.33%"
"22-03-2022","230.35","238.00","243.45","229.00","3.10M","-1.22%"
"21-03-2022","233.20","223.00","235.80","222.30","3.65M","6.05%"
"17-03-2022","219.90","239.00","239.40","217.10","4.69M","-6.15%"
"16-03-2022","234.30","228.00","236.90","227.05","2.13M","2.74%"
"15-03-2022","228.05","226.00","230.75","223.20","1.31M","-1.32%"
"14-03-2022","231.10","235.00","239.85","230.30","1.21M","-1.99%"
"11-03-2022","235.80","235.95","238.25","234.25","1.29M","0.23%"
"10-03-2022","235.25","240.85","241.00","233.95","3.38M","-3.35%"
"09-03-2022","243.40","250.55","252.25","242.55","1.86M","-1.02%"
"08-03-2022","245.90","253.20","254.05","242.15","2.40M","-1.32%"
"07-03-2022","249.20","251.00","257.40","245.30","6.79M","1.86%"
"04-03-2022","244.65","251.00","257.70","241.70","3.86M","-0.26%"
"03-03-2022","245.30","252.25","262.90","243.50","7.82M","0.33%"
"02-03-2022","244.50","232.40","246.50","228.25","6.80M","9.67%"
"28-02-2022","222.95","225.50","225.70","221.00","1.05M","0.45%"
"25-02-2022","221.95","223.00","227.60","217.50","2.29M","1.46%"
"24-02-2022","218.75","220.50","226.40","215.40","3.61M","-0.79%"
"23-02-2022","220.50","222.90","225.45","217.70","576.79K","0.00%"
