"Date","Price","Open","High","Low","Vol.","Change %"
"22-07-2022","16.6500","16.8575","16.9625","16.1625","","-1.23%"
"21-07-2022","16.8575","16.8225","17.2075","15.9725","","0.21%"
"20-07-2022","16.8225","17.2025","17.2725","15.6575","","-2.21%"
"19-07-2022","17.2025","17.1600","17.6675","16.3525","","0.25%"
"18-07-2022","17.1600","17.5975","18.1825","16.4700","","-2.49%"
"15-07-2022","17.5975","18.3400","18.3400","17.5300","","-4.05%"
"14-07-2022","18.3400","18.5200","18.6900","17.7500","","-0.97%"
"13-07-2022","18.5200","18.5475","18.7625","17.7350","","-0.15%"
"12-07-2022","18.5475","18.3675","18.6375","17.3000","","0.98%"
"11-07-2022","18.3675","18.3950","19.2150","16.6475","","-0.15%"
"08-07-2022","18.3950","19.2025","19.2025","18.2200","","-4.21%"
"07-07-2022","19.2025","20.2675","20.2675","19.0125","","-5.25%"
"06-07-2022","20.2675","20.7875","20.7875","19.8225","","-2.50%"
"05-07-2022","20.7875","20.9725","20.9925","20.2350","","-0.88%"
"04-07-2022","20.9725","21.2500","22.2475","20.9225","","-1.31%"
"01-07-2022","21.2500","21.8400","22.4300","21.1425","","-2.70%"
"30-06-2022","21.8400","21.9000","22.2725","21.5375","","-0.27%"
"29-06-2022","21.9000","21.4500","22.0850","21.4500","","2.10%"
"28-06-2022","21.4500","21.0050","21.6800","20.5125","","2.12%"
"27-06-2022","21.0050","20.5500","21.1200","19.5450","","2.21%"
"24-06-2022","20.5500","20.8800","21.2725","18.6825","","-1.58%"
"23-06-2022","20.8800","21.3000","21.7100","18.3550","","-1.97%"
"22-06-2022","21.3000","21.1425","21.7850","19.3200","","0.74%"
"21-06-2022","21.1425","22.4125","22.4125","20.4800","","-5.67%"
"20-06-2022","22.4125","22.7575","23.6350","16.0025","","-1.52%"
"17-06-2022","22.7575","22.8675","23.6900","18.0225","","-0.48%"
"16-06-2022","22.8675","22.1475","28.1300","19.7475","","3.25%"
"15-06-2022","22.1475","21.8875","22.3650","20.9500","","1.19%"
"14-06-2022","21.8875","22.3650","22.6350","18.9475","","-2.14%"
"13-06-2022","22.3650","19.5750","22.8025","19.5750","","14.25%"
"10-06-2022","19.5750","19.1400","19.7550","18.2550","","2.27%"
"09-06-2022","19.1400","19.8375","19.8375","18.1550","","-3.52%"
"08-06-2022","19.8375","20.4250","20.6875","19.3875","","-2.88%"
"07-06-2022","20.4250","20.2025","21.0700","19.4325","","1.10%"
"06-06-2022","20.2025","19.9750","20.6825","18.6500","","1.14%"
"03-06-2022","19.9750","20.3200","20.3200","18.7350","","-1.70%"
"02-06-2022","20.3200","20.8450","20.9975","18.3825","","-2.52%"
"01-06-2022","20.8450","20.4775","21.3375","18.2300","","1.79%"
"31-05-2022","20.4775","19.9800","20.7500","19.6800","","2.49%"
"30-05-2022","19.9800","21.4800","21.4800","19.7200","","-6.98%"
"27-05-2022","21.4800","22.7175","22.7175","21.2000","","-5.45%"
"26-05-2022","22.7175","25.2825","25.2825","22.5350","","-10.15%"
"25-05-2022","25.2825","25.6350","25.6350","24.3625","","-1.38%"
"24-05-2022","25.6350","23.3975","25.9900","23.1550","","9.56%"
"23-05-2022","23.3975","23.1000","23.9750","20.5000","","1.29%"
"20-05-2022","23.1000","24.5575","24.5575","22.4425","","-5.94%"
"19-05-2022","24.5575","22.2950","25.1475","22.2950","","10.15%"
"18-05-2022","22.2950","22.7425","23.0600","21.3400","","-1.97%"
"17-05-2022","22.7425","24.5275","24.8400","17.0950","","-7.28%"
"16-05-2022","24.5275","23.4850","24.7125","21.2750","","4.44%"
"13-05-2022","23.4850","24.2650","24.2650","20.9675","","-3.21%"
"12-05-2022","24.2650","22.8025","25.3150","21.1500","","6.41%"
"11-05-2022","22.8025","22.3025","24.1875","20.4825","","2.24%"
"10-05-2022","22.3025","22.0325","22.5150","21.2175","","1.23%"
"09-05-2022","22.0325","21.2500","22.5200","18.9600","","3.68%"
"06-05-2022","21.2500","20.2925","21.8100","19.3325","","4.72%"
"05-05-2022","20.2925","21.8775","21.8775","19.6150","","-7.24%"
"04-05-2022","21.8775","20.2825","22.3875","18.4275","","7.86%"
"02-05-2022","20.2825","19.4150","21.0625","19.4150","","4.47%"
"29-04-2022","19.4150","19.3775","19.6475","18.2075","","0.19%"
"28-04-2022","19.3775","20.6050","20.6050","19.0225","","-5.96%"
"27-04-2022","20.6050","19.1875","21.3650","19.1875","","7.39%"
"26-04-2022","19.1875","21.2575","21.2575","19.0050","","-9.74%"
"25-04-2022","21.2575","18.3525","21.7550","18.3525","","15.83%"
"22-04-2022","18.3525","17.8525","18.7600","17.8125","","2.80%"
"21-04-2022","17.8525","18.6725","18.6725","13.3500","","-4.39%"
"20-04-2022","18.6725","19.7750","20.2650","17.8350","","-5.58%"
"19-04-2022","19.7750","19.3350","20.8075","14.6275","","2.28%"
"18-04-2022","19.3350","17.7850","20.4825","17.7850","","8.72%"
"13-04-2022","17.7850","18.1575","18.4025","16.1925","","-2.05%"
"12-04-2022","18.1575","18.2700","18.6725","15.0850","","-0.62%"
"11-04-2022","18.2700","17.6875","19.1450","16.6425","","3.29%"
"08-04-2022","17.6875","18.9975","20.0875","17.5300","","-6.90%"
"07-04-2022","18.9975","19.0225","19.4900","17.7175","","-0.13%"
"06-04-2022","19.0225","18.4875","19.2825","16.8100","","2.89%"
"05-04-2022","18.4875","17.9075","18.6300","16.7900","","3.24%"
"04-04-2022","17.9075","18.4350","18.8250","17.5925","","-2.86%"
"01-04-2022","18.4350","20.5600","20.8550","18.1200","","-10.34%"
"31-03-2022","20.5600","20.6100","20.9425","20.2125","","-0.24%"
"30-03-2022","20.6100","21.3025","21.3025","19.7300","","-3.25%"
"29-03-2022","21.3025","22.6100","22.6100","21.1025","","-5.78%"
"28-03-2022","22.6100","23.4300","24.2125","19.5900","","-3.50%"
"25-03-2022","23.4300","23.9300","24.2725","22.9100","","-2.09%"
"24-03-2022","23.9300","24.7475","25.5300","23.8125","","-3.30%"
"23-03-2022","24.7475","24.0700","24.9750","20.4550","","2.81%"
"22-03-2022","24.0700","24.6225","25.1575","23.7600","","-2.24%"
"21-03-2022","24.6225","22.6100","24.7125","22.6100","","8.90%"
"17-03-2022","22.6100","24.1175","24.1175","20.7700","","-6.25%"
"16-03-2022","24.1175","26.7300","26.7300","24.0125","","-9.77%"
"15-03-2022","26.7300","25.6775","27.5425","23.6575","","4.10%"
"14-03-2022","25.6775","25.3450","26.2125","25.0900","","1.31%"
"11-03-2022","25.3450","25.5825","25.8725","24.5800","","-0.93%"
"10-03-2022","25.5825","27.4675","27.4675","22.9625","","-6.86%"
"09-03-2022","27.4675","28.5875","28.5875","27.3050","","-3.92%"
"08-03-2022","28.5875","29.3300","30.0575","27.1125","","-2.53%"
"07-03-2022","29.3300","27.9575","30.2775","27.9575","","4.91%"
"04-03-2022","27.9575","28.1550","29.9250","27.2225","","-0.70%"
"03-03-2022","28.1550","29.2325","29.2325","27.2225","","-3.69%"
"02-03-2022","29.2325","28.5700","30.8425","28.5700","","2.32%"
"28-02-2022","28.5700","26.7400","29.7850","26.7400","","6.84%"
"25-02-2022","26.7400","31.9825","31.9825","26.1500","","-16.39%"
"24-02-2022","31.9825","24.5425","33.9725","24.5425","","30.31%"
"23-02-2022","24.5425","26.6625","26.6625","23.9075","","-7.95%"
"22-02-2022","26.6625","22.9025","27.8150","22.9025","","16.42%"
"21-02-2022","22.9025","22.1650","23.7550","20.5700","","3.33%"
"18-02-2022","22.1650","22.0050","23.2100","21.6350","","0.73%"
"17-02-2022","22.0050","20.5925","22.3700","19.4625","","6.86%"
"16-02-2022","20.5925","20.6125","21.0200","19.3525","","-0.10%"
"15-02-2022","20.6125","22.9775","23.1400","20.4350","","-10.29%"
"14-02-2022","22.9775","18.6800","23.5350","18.6800","","23.01%"
"11-02-2022","18.6800","17.7100","19.5325","16.8550","","5.48%"
"10-02-2022","17.7100","18.5550","18.9250","16.8000","","-4.55%"
"09-02-2022","18.5550","19.6850","19.6850","17.8850","","-5.74%"
"08-02-2022","19.6850","20.4375","20.9375","19.5550","","-3.68%"
"07-02-2022","20.4375","18.8975","21.0825","18.1825","","8.15%"
"04-02-2022","18.8975","19.1600","19.7775","18.5950","","-1.37%"
"03-02-2022","19.1600","18.6500","19.5950","17.4075","","2.73%"
"02-02-2022","18.6500","19.9775","19.9775","18.5475","","-6.64%"
"01-02-2022","19.9775","21.9525","22.0700","19.7450","","-9.00%"
"31-01-2022","21.9525","20.6950","22.1100","20.6950","","6.08%"
"28-01-2022","20.6950","21.0650","21.3200","20.2825","","-1.76%"
"27-01-2022","21.0650","21.3575","23.8675","20.4425","","-1.37%"
