index,Value
17-08-2021,69.39026495
18-08-2021,69.40480401
19-08-2021,69.41934307
20-08-2021,69.43388213
21-08-2021,69.44842119
22-08-2021,69.46296024
23-08-2021,69.4774993
24-08-2021,69.49203836
25-08-2021,69.50657742
26-08-2021,69.52111648
27-08-2021,69.53565554
28-08-2021,69.5501946
29-08-2021,69.56473366
30-08-2021,69.57927272
31-08-2021,69.59381178
01-09-2021,48.91963
02-09-2021,48.94720901
03-09-2021,48.97478803
04-09-2021,49.00236704
05-09-2021,49.02994606
06-09-2021,49.05752507
07-09-2021,49.08510409
08-09-2021,49.1126831
09-09-2021,49.14026211
10-09-2021,49.16784113
11-09-2021,49.19542014
12-09-2021,49.22299916
13-09-2021,49.25057817
14-09-2021,49.27815718
15-09-2021,49.3057362
16-09-2021,49.33331521
17-09-2021,49.36089423
18-09-2021,49.38847324
19-09-2021,49.41605226
20-09-2021,49.44363127
21-09-2021,49.47121028
22-09-2021,49.4987893
23-09-2021,49.52636831
24-09-2021,49.55394733
25-09-2021,49.58152634
26-09-2021,49.60910535
27-09-2021,49.63668437
28-09-2021,49.66426338
29-09-2021,49.6918424
30-09-2021,49.71942141
01-10-2021,39.94633
02-10-2021,39.97969078
03-10-2021,40.01305156
04-10-2021,40.04641234
05-10-2021,40.07977312
06-10-2021,40.1131339
07-10-2021,40.14649468
08-10-2021,40.17985546
09-10-2021,40.21321624
10-10-2021,40.24657702
11-10-2021,40.2799378
12-10-2021,40.31329858
13-10-2021,40.34665936
14-10-2021,40.38002014
15-10-2021,40.41338091
16-10-2021,40.44674169
17-10-2021,40.48010247
18-10-2021,40.51346325
19-10-2021,40.54682403
20-10-2021,40.58018481
21-10-2021,40.61354559
22-10-2021,40.64690637
23-10-2021,40.68026715
24-10-2021,40.71362793
25-10-2021,40.74698871
26-10-2021,40.78034949
27-10-2021,40.81371027
28-10-2021,40.84707105
29-10-2021,40.88043183
30-10-2021,40.91379261
31-10-2021,40.94715339
01-11-2021,23.35276
02-11-2021,23.39681251
03-11-2021,23.44086503
04-11-2021,23.48491754
05-11-2021,23.52897005
06-11-2021,23.57302256
07-11-2021,23.61707508
08-11-2021,23.66112759
09-11-2021,23.7051801
10-11-2021,23.74923262
11-11-2021,23.79328513
12-11-2021,23.83733764
13-11-2021,23.88139015
14-11-2021,23.92544267
15-11-2021,23.96949518
16-11-2021,24.01354769
17-11-2021,24.05760021
18-11-2021,24.10165272
19-11-2021,24.14570523
20-11-2021,24.18975774
21-11-2021,24.23381026
22-11-2021,24.27786277
23-11-2021,24.32191528
24-11-2021,24.3659678
25-11-2021,24.41002031
26-11-2021,24.45407282
27-11-2021,24.49812534
28-11-2021,24.54217785
29-11-2021,24.58623036
30-11-2021,24.63028287
01-12-2021,72.32533
02-12-2021,72.33782802
03-12-2021,72.35032604
04-12-2021,72.36282407
05-12-2021,72.37532209
06-12-2021,72.38782011
07-12-2021,72.40031813
08-12-2021,72.41281615
09-12-2021,72.42531418
10-12-2021,72.4378122
11-12-2021,72.45031022
12-12-2021,72.46280824
13-12-2021,72.47530626
14-12-2021,72.48780428
15-12-2021,72.50030231
16-12-2021,72.51280033
17-12-2021,72.52529835
18-12-2021,72.53779637
19-12-2021,72.55029439
20-12-2021,72.56279242
21-12-2021,72.57529044
22-12-2021,72.58778846
23-12-2021,72.60028648
24-12-2021,72.6127845
25-12-2021,72.62528253
26-12-2021,72.63778055
27-12-2021,72.65027857
28-12-2021,72.66277659
29-12-2021,72.67527461
30-12-2021,72.68777264
