"Date","Price","Open","High","Low","Vol.","Change %"
"16-06-2023","304.50","304.90","309.50","303.90","803.57K","0.20%"
"15-06-2023","303.90","303.05","304.70","300.15","1.07M","0.58%"
"14-06-2023","302.15","305.00","305.90","301.00","790.05K","-0.56%"
"13-06-2023","303.85","299.75","304.60","299.55","984.24K","1.64%"
"12-06-2023","298.95","301.00","301.55","298.70","697.00K","-0.53%"
"09-06-2023","300.55","305.95","305.95","299.00","854.12K","-1.20%"
"08-06-2023","304.20","306.50","306.50","303.60","712.68K","-0.41%"
"07-06-2023","305.45","309.80","309.80","305.10","710.62K","-0.52%"
"06-06-2023","307.05","308.00","309.40","306.40","255.15K","0.05%"
"05-06-2023","306.90","305.85","309.90","305.50","421.09K","0.13%"
"02-06-2023","306.50","306.00","307.15","305.00","273.16K","0.28%"
"01-06-2023","305.65","306.75","307.10","304.50","283.06K","-0.11%"
"31-05-2023","306.00","306.65","307.15","304.40","343.63K","-0.21%"
"30-05-2023","306.65","307.00","307.80","305.45","370.13K","-0.02%"
"29-05-2023","306.70","307.25","308.00","305.25","453.40K","0.36%"
"26-05-2023","305.60","307.85","307.85","304.55","442.43K","0.23%"
"25-05-2023","304.90","306.00","307.40","304.40","363.83K","-0.54%"
"24-05-2023","306.55","307.55","309.70","306.10","480.51K","-0.33%"
"23-05-2023","307.55","308.10","310.00","307.10","533.93K","-0.37%"
"22-05-2023","308.70","309.95","310.90","308.00","330.80K","0.11%"
"19-05-2023","308.35","310.85","312.20","307.55","330.86K","-0.63%"
"18-05-2023","310.30","312.60","313.50","310.00","303.32K","-0.66%"
"17-05-2023","312.35","311.40","313.60","310.15","314.22K","0.58%"
"16-05-2023","310.55","311.20","312.85","310.00","242.70K","0.27%"
"15-05-2023","309.70","312.50","312.50","308.85","308.72K","-0.21%"
"12-05-2023","310.35","313.00","313.00","309.30","339.33K","-1.07%"
"11-05-2023","313.70","314.30","315.00","313.05","146.65K","-0.19%"
"10-05-2023","314.30","315.50","315.50","312.60","214.25K","0.03%"
"09-05-2023","314.20","314.20","316.60","312.25","408.05K","0.24%"
"08-05-2023","313.45","312.25","314.50","312.00","268.68K","0.63%"
"05-05-2023","311.50","313.00","313.55","310.60","348.80K","-0.37%"
"04-05-2023","312.65","315.60","316.65","311.55","404.33K","-0.54%"
"03-05-2023","314.35","316.35","316.35","312.00","466.52K","-0.27%"
"02-05-2023","315.20","316.40","317.80","315.00","407.89K","0.27%"
"28-04-2023","314.35","311.55","314.90","311.30","554.35K","1.31%"
"27-04-2023","310.30","312.00","312.70","309.20","329.62K","-0.93%"
"26-04-2023","313.20","315.50","316.30","312.55","401.60K","-1.15%"
"25-04-2023","316.85","318.45","319.20","316.20","302.29K","-0.50%"
"24-04-2023","318.45","320.00","320.00","314.00","892.06K","-1.89%"
"21-04-2023","324.60","326.95","328.00","321.00","1.22M","-0.90%"
"20-04-2023","327.55","325.70","328.50","325.05","794.27K","0.96%"
"19-04-2023","324.45","324.00","326.00","323.40","789.88K","0.36%"
"18-04-2023","323.30","319.00","324.90","319.00","1.13M","1.40%"
"17-04-2023","318.85","319.70","320.85","317.10","767.76K","-0.27%"
"13-04-2023","319.70","313.90","321.80","312.65","1.31M","2.06%"
"12-04-2023","313.25","313.00","313.80","311.40","507.48K","0.38%"
"11-04-2023","312.05","312.90","313.95","310.40","741.35K","-0.24%"
"10-04-2023","312.80","311.30","314.95","310.35","839.20K","0.48%"
"06-04-2023","311.30","304.20","312.55","303.35","1.11M","1.83%"
"05-04-2023","305.70","299.00","307.00","297.60","2.12M","2.52%"
"03-04-2023","298.20","294.00","298.90","293.35","792.38K","1.65%"
"31-03-2023","293.35","298.00","298.00","292.30","1.89M","-1.89%"
"29-03-2023","299.00","299.00","302.90","295.00","2.73M","-9.06%"
"28-03-2023","328.80","331.00","331.55","323.30","1.94M","-0.09%"
"27-03-2023","329.10","326.50","329.70","324.05","2.63M","1.86%"
"24-03-2023","323.10","324.00","324.00","320.30","2.73M","0.89%"
"23-03-2023","320.25","320.00","324.80","317.30","4.47M","0.79%"
