Date,Price,Open,High,Low,Vol.,Change %,WAD,MA20,MA10
21-12-2022,268.05,279.75,283.7,265.0,617.16K,-3.84%,-401.8499999999997,276.6625,276.655
20-12-2022,278.75,280.0,280.4,271.95,788.99K,-0.41%,-391.1499999999997,277.31,275.53499999999997
19-12-2022,279.9,287.0,287.5,278.35,790.24K,-2.17%,-389.59999999999974,277.895,274.16999999999996
16-12-2022,286.1,293.5,295.25,285.0,607.18K,-2.82%,-383.3999999999997,278.805,274.02
15-12-2022,294.4,295.45,299.0,293.4,376.43K,-0.47%,-375.09999999999974,279.85499999999996,274.81
14-12-2022,295.8,299.6,300.25,295.2,437.59K,-0.69%,-373.6999999999997,280.6775,276.0
13-12-2022,297.85,301.0,304.55,296.5,546.60K,-0.57%,-371.6499999999997,281.40500000000003,278.79
12-12-2022,299.55,295.0,301.8,292.0,617.55K,1.25%,-364.0999999999997,282.15749999999997,282.375
09-12-2022,295.85,302.85,306.1,294.05,732.36K,-1.81%,-374.3499999999997,283.01,286.63
08-12-2022,301.3,305.6,308.2,300.05,688.25K,-0.99%,-368.8999999999997,284.025,289.755
07-12-2022,304.3,311.6,311.6,303.0,707.53K,-1.97%,-365.8999999999997,285.01750000000004,293.38
06-12-2022,310.4,312.0,319.8,308.55,1.15M,0.19%,-359.7999999999997,286.04,296.545
05-12-2022,309.8,309.9,314.5,306.0,665.11K,0.45%,-364.4999999999997,286.8525,299.53499999999997
02-12-2022,308.4,309.7,312.5,307.5,470.71K,-0.42%,-368.59999999999974,287.8925,301.765
01-12-2022,309.7,308.9,313.9,304.05,1.37M,0.50%,-362.94999999999976,289.05249999999995,303.29499999999996
30-11-2022,308.15,310.4,310.75,306.35,413.77K,-0.24%,-365.5499999999998,290.265,304.53
29-11-2022,308.9,312.8,315.9,307.75,521.02K,-0.96%,-364.3999999999998,292.2125,305.635
28-11-2022,311.9,307.8,318.35,306.3,1.16M,1.40%,-358.79999999999984,294.62250000000006,306.87
25-11-2022,307.6,301.45,309.55,298.55,1.18M,2.23%,-363.0999999999998,297.3375,308.04499999999996
24-11-2022,300.9,303.35,306.6,299.4,781.77K,-0.23%,-369.79999999999984,298.88,308.005
23-11-2022,301.6,298.7,312.8,298.5,1.52M,1.26%,-366.6999999999998,300.5575,307.735
22-11-2022,297.85,304.6,307.3,297.0,572.37K,-2.02%,-376.1499999999998,301.5125,306.47999999999996
21-11-2022,304.0,304.2,307.5,301.7,335.83K,-0.30%,-369.99999999999983,302.71750000000003,305.9
18-11-2022,304.9,311.3,312.5,302.9,472.23K,-1.57%,-367.99999999999983,303.65749999999997,305.55
17-11-2022,309.75,313.9,315.7,308.5,397.78K,-1.56%,-363.1499999999998,304.425,305.555
16-11-2022,314.65,317.0,319.7,314.0,308.67K,-1.16%,-358.24999999999983,305.3675,306.20500000000004
15-11-2022,318.35,318.45,320.45,314.15,432.50K,-0.03%,-354.0499999999998,306.3925,307.15
14-11-2022,318.45,322.15,323.65,317.3,436.73K,-0.93%,-352.8999999999998,307.3375,307.80499999999995
11-11-2022,321.45,325.1,329.45,320.05,723.34K,-0.54%,-349.8999999999998,308.6175,309.19
10-11-2022,323.2,327.0,329.7,318.95,599.39K,-1.61%,-345.6499999999998,309.7125,311.41999999999996
09-11-2022,328.5,334.8,338.4,325.5,968.95K,-1.17%,-340.3499999999998,310.9225,314.11
07-11-2022,332.4,326.55,343.5,326.0,2.28M,2.31%,-333.9499999999998,312.0225,317.565
04-11-2022,324.9,331.2,337.7,323.5,1.09M,-1.81%,-346.74999999999983,312.77750000000003,319.65500000000003
03-11-2022,330.9,332.6,336.8,329.5,826.54K,-2.03%,-340.74999999999983,313.90250000000003,322.255
02-11-2022,337.75,349.9,350.0,334.95,1.24M,-3.04%,-333.8999999999998,315.305,325.05499999999995
01-11-2022,348.35,339.0,351.4,339.0,4.10M,3.17%,-323.2999999999998,317.315,328.425
31-10-2022,337.65,325.5,339.8,325.5,6.73M,6.10%,-333.99999999999983,318.7525,330.35499999999996
28-10-2022,318.25,316.2,325.5,314.6,1.21M,1.16%,-353.3999999999998,319.07,330.335
27-10-2022,314.6,312.3,318.65,311.1,611.80K,1.35%,-357.44999999999976,319.42,329.65
25-10-2022,310.4,318.0,319.25,308.45,454.30K,-1.96%,-366.2999999999998,319.895,328.37
24-10-2022,316.6,315.45,317.8,313.0,142.45K,1.36%,-360.09999999999974,320.64500000000004,327.18
21-10-2022,312.35,318.0,319.75,310.2,576.48K,-1.54%,-367.4999999999997,321.37,325.175
20-10-2022,317.25,316.25,319.7,311.4,678.77K,-0.41%,-361.6499999999997,322.03249999999997,324.40999999999997
19-10-2022,318.55,323.0,324.0,315.15,1.29M,-1.09%,-358.24999999999966,322.71500000000003,323.175
18-10-2022,322.05,326.8,328.2,320.25,1.12M,-0.71%,-354.74999999999966,323.33000000000004,321.605
17-10-2022,324.35,318.6,328.5,311.75,1.32M,1.20%,-342.14999999999964,323.81499999999994,319.205
14-10-2022,320.5,325.7,329.1,318.5,863.44K,0.09%,-350.74999999999966,323.9225,317.49
13-10-2022,320.2,326.8,328.05,318.0,1.02M,-2.73%,-358.5999999999997,324.01000000000005,317.68500000000006
12-10-2022,329.2,328.2,332.0,317.1,1.14M,0.72%,-346.4999999999997,324.3975,319.145
11-10-2022,326.85,345.0,351.5,322.1,1.96M,-5.33%,-371.1499999999997,324.58,320.79
10-10-2022,345.25,340.6,346.95,333.85,3.22M,0.07%,-352.7499999999997,325.41749999999996,323.655
