Date,Price,Open,High,Low,Vol.,Change %,WAD,MA20,MA10
14-09-2023,407.15,400,411,398.1,3.42M,2.88%,-286.05,413.40999999999997,413.38
13-09-2023,395.75,401.2,414.1,383.5,5.37M,-0.35%,-304.4,413.59499999999997,411.305
12-09-2023,397.15,432.95,433.35,393.15,7.44M,-7.91%,-300.4,413.85249999999996,407.73
11-09-2023,431.25,399,437.4,398,15.60M,9.30%,-266.3,415.5475,406.86499999999995
08-09-2023,394.55,383,397.3,379.1,5.91M,3.16%,-303,414.8475,404.20500000000004
07-09-2023,382.45,383,386.25,372.65,2.95M,0.04%,-315.1,413.35,400.23999999999995
06-09-2023,382.3,381.65,387.4,376.05,6.62M,0.94%,-320.2,411.48249999999996,399.09000000000003
05-09-2023,378.75,365.1,384.6,361.1,10.06M,4.17%,-326.05,409.745,396.21500000000003
04-09-2023,363.6,355,367,352.55,6.09M,2.64%,-341.2,406.98,393.17999999999995
01-09-2023,354.25,351.4,358.65,349.5,2.18M,0.94%,-350.55,402.5625,388.71999999999997
31-08-2023,350.95,358,360.4,349,4.96M,-1.64%,-360,398.24,383.1
30-08-2023,356.8,369.45,372.75,353.25,5.86M,-2.57%,-354.15,395.255,379.205
29-08-2023,366.2,347.4,368.9,342.1,7.69M,5.46%,-330.05,391.92,376.11
28-08-2023,347.25,349.25,353.7,344.7,4.07M,-0.10%,-349,387.2875,367.71000000000004
25-08-2023,347.6,348.2,352,340.15,3.71M,-0.88%,-341.55,383.61,363.015
24-08-2023,350.7,358.4,359.8,348,2.93M,-1.85%,-338.45,380.04,359.84
23-08-2023,357.3,361.2,364.7,355.2,1.29M,-0.92%,-331.85,378.215,357.34000000000003
22-08-2023,360.6,362.9,366.95,358.8,2.41M,-0.18%,-328.55,375.87,355.525
21-08-2023,361.25,362.8,366.45,356.5,2.14M,-0.30%,-323.8,374.235,355.29
18-08-2023,362.35,352,364.75,348.8,3.82M,2.78%,-310.25,372.41,356.1
17-08-2023,352.55,368.5,368.7,351,7.64M,-4.20%,-326.4,369.68,356.26
16-08-2023,368,359,369.9,352.1,12.69M,5.98%,-310.5,368.2925,357.38
14-08-2023,347.25,345,356.6,340,17.05M,1.52%,-331.25,365.7975,355.485
11-08-2023,342.05,338,344.45,325.1,7.48M,1.63%,-336.45,361.3375,354.96500000000003
10-08-2023,336.55,316,340,314.65,15.51M,7.10%,-341.95,358.4375,353.86
09-08-2023,314.25,290.85,317.4,290.05,15.88M,8.05%,-364.25,355.02750000000003,350.21500000000003
08-08-2023,290.85,292.9,294.7,289.1,1.20M,-0.34%,-387.65,350.45500000000004,343.57000000000005
07-08-2023,291.85,294.75,296.5,291,2.05M,-0.49%,-386.65,346.11,336.69500000000005
04-08-2023,293.3,289,295.7,288.4,1.64M,2.16%,-381.75,342.59499999999997,329.9
03-08-2023,287.1,288.55,294.2,286,1.66M,-1.29%,-388.85,339.2375,322.375
02-08-2023,290.85,296,298.2,287.55,1.25M,-1.69%,-385.1,336.23249999999996,316.20500000000004
01-08-2023,295.85,288.9,298.7,288.7,3.48M,2.48%,-377.95,333.185,308.99
31-07-2023,288.7,293,293.6,287.45,1.14M,-1.16%,-385.1,329.31,303.13500000000005
28-07-2023,292.1,289.2,294.85,288,2.95M,0.93%,-381,326.5525,298.14
27-07-2023,289.4,293.5,294.95,287.1,2.49M,-1.06%,-386.55,323.64250000000004,293.42500000000007
26-07-2023,292.5,295.7,296.8,289.6,2.70M,-0.53%,-383.45,320.73249999999996,291.25000000000006
25-07-2023,294.05,286.8,295,285.95,3.58M,2.67%,-375.35,317.57000000000005,291.57
24-07-2023,286.4,289.4,292.5,285,2.03M,-0.59%,-383,313.86,291.025
21-07-2023,288.1,295.5,295.55,285.5,3.86M,-2.21%,-380.4,310.2025,290.505
20-07-2023,294.6,296,301.3,291.4,5.45M,-0.30%,-373.9,306.815,291.255
19-07-2023,295.5,291,301.3,288.65,5.24M,2.00%,-367.05,303.9625,291.71999999999997
18-07-2023,289.7,293.3,296.4,283.25,4.78M,-1.23%,-373.75,300.0475,291.105
17-07-2023,293.3,295,298.85,291.5,5.33M,-3.71%,-370.15,297.35,291.56499999999994
14-07-2023,304.6,299.8,307.7,299.8,2.45M,1.91%,-358.85,295.4775,292.815
13-07-2023,298.9,313,314.15,293.4,3.59M,-4.49%,-374.1,293.595,293.765
12-07-2023,312.95,310.55,316.05,307.5,2.77M,1.10%,-360.05,293.53000000000003,295.81
11-07-2023,309.55,304.75,311,301.5,2.11M,1.64%,-363.45,294.46500000000003,297.36
10-07-2023,304.55,308.55,319.95,298.35,5.08M,-0.68%,-378.85,295.1,299.175
07-07-2023,306.65,309.75,315.8,304.5,3.37M,-1.08%,-376.7,295.76750000000004,301.03000000000003
06-07-2023,310,303,311.8,303,4.90M,2.73%,-369.7,296.9125,302.57
05-07-2023,301.75,295.95,309.9,293.25,7.47M,2.53%,-377.95,297.4575,303.195
04-07-2023,294.3,290,299,289.9,7.43M,1.83%,-385.4,297.38,303.65500000000003
03-07-2023,289,275,291.8,275,9.16M,5.96%,-390.7,297.39500000000004,303.225
30-06-2023,272.75,272.45,279.4,271.1,3.59M,0.37%,-406.95,296.4275,300.03999999999996
28-06-2023,271.75,272,274.35,268.6,1.77M,0.33%,-409.55,295.545,297.325
27-06-2023,270.85,272.8,275.7,269.1,2.01M,-0.44%,-414.4,294.4625,293.115
26-06-2023,272.05,262.7,273.5,256.35,3.41M,4.07%,-398.7,293.3625,289.365
23-06-2023,261.4,272.4,272.4,260,2.40M,-3.93%,-409.7,292.11250000000007,285.05
22-06-2023,272.1,277,285,270.3,9.55M,-0.80%,-399,291.3125,281.59499999999997
21-06-2023,274.3,258.5,276.9,258.05,10.56M,6.71%,-382.75,290.2975,278.025
20-06-2023,257.05,254.4,257.95,251.55,1.61M,1.36%,-400,288.375,273.555
19-06-2023,253.6,257.9,258.9,253,1.16M,-1.17%,-405.3,286.57,269.485
16-06-2023,256.6,262.5,263.5,255.15,1.66M,-2.19%,-402.3,284.735,266.245
15-06-2023,262.35,264.4,268,261.05,1.62M,-1.30%,-396.55,282.62250000000006,265.205
14-06-2023,265.8,262.3,269,262.05,1.95M,1.82%,-392.8,280.9675,264.61
13-06-2023,261.05,258,265.1,257.65,1.90M,1.50%,-397.55,278.3725,263.63
12-06-2023,257.2,261.95,262.3,256.2,1.10M,-1.61%,-402.65,275.755,262.14500000000004
09-06-2023,261.4,264.15,267,260.05,967.63K,-1.02%,-398.45,273.59749999999997,262.14500000000004
08-06-2023,264.1,268,273.9,262.3,2.45M,-1.46%,-395.75,271.46999999999997,261.345
07-06-2023,268,264.7,274,264.35,4.61M,1.77%,-391.85,269.37,260.71500000000003
06-06-2023,263.35,250.9,265,250.3,4.11M,5.51%,-396.5,267.45,261.34499999999997
05-06-2023,249.6,252.1,254.65,249,939.92K,-0.52%,-410.25,265.21500000000003,260.945
02-06-2023,250.9,254.7,255.8,249.8,1.26M,-1.01%,-408.95,263.31,260.375
01-06-2023,253.45,255.05,258.95,252.55,1.12M,-0.24%,-406.4,262.34499999999997,259.485
31-05-2023,254.05,262.35,264.7,253,1.31M,-2.72%,-405.35,261.46,258.31
30-05-2023,261.15,253.85,269.3,251.55,5.85M,3.34%,-395.75,260.975,258.32000000000005
29-05-2023,252.7,257.8,258.3,251,669.16K,-1.25%,-404.2,260.00750000000005,257.87
26-05-2023,255.9,257.55,261.5,254.3,777.99K,-1.08%,-401,259.73249999999996,257.32
25-05-2023,258.7,249.5,262.3,248.05,2.52M,3.60%,-390.35,259.0625,256.78000000000003
24-05-2023,249.7,240,255.75,240,2.42M,0.62%,-399.35,257.8325,254.95
23-05-2023,248.15,246.2,254.2,245.85,1.03M,1.22%,-405.4,257.3875,253.43
22-05-2023,245.15,243.75,248.65,242.1,580.99K,0.55%,-408.9,256.96500000000003,252.98500000000004
19-05-2023,243.8,247.3,248.25,241.05,536.79K,-1.20%,-413.35,256.325,252.275
18-05-2023,246.75,249.4,250.85,245.05,560.84K,-0.82%,-410.4,255.545,251.60500000000002
17-05-2023,248.8,255.65,256.1,247.15,550.42K,-2.39%,-408.35,254.69500000000002,251.08
16-05-2023,254.9,256.05,259.6,253.85,565.80K,-0.45%,-402.25,254.3875,250.455
15-05-2023,256.05,259,260.7,255.6,526.82K,-1.50%,-401.1,254.33,250.79000000000002
12-05-2023,259.95,262.8,266.8,259,938.97K,-1.08%,-397.2,254.2575,251.19500000000002
11-05-2023,262.8,268,271,261.1,1.06M,-0.77%,-394.35,254.19250000000002,251.60499999999996
10-05-2023,264.85,260.5,268.6,260.5,894.09K,1.67%,-390,254.03500000000003,253.11999999999998
09-05-2023,260.5,264.25,266.2,258.2,704.72K,-0.99%,-395.7,253.8925,254.35500000000002
08-05-2023,263.1,261,273,259.6,2.76M,1.02%,-392.2,254.56749999999997,256.15000000000003
05-05-2023,260.45,259,263.3,257,668.02K,0.62%,-395.05,255.04500000000002,257.815
04-05-2023,258.85,260.55,265,256.65,871.47K,-1.05%,-401.2,255.315,259.025
03-05-2023,261.6,257.7,264.3,256.15,958.14K,1.51%,-395.75,255.69250000000002,260.305
02-05-2023,257.7,261,263.85,256.5,584.95K,-1.15%,-401.9,255.52000000000004,260.585
28-04-2023,260.7,258.45,262.25,257.1,779.47K,1.62%,-398.3,255.92,261.05
27-04-2023,256.55,258.8,261.3,254.55,1.00M,-0.68%,-403.05,255.95250000000001,260.71
26-04-2023,258.3,260.75,262.75,257,489.75K,-0.62%,-401.3,255.93250000000003,260.26000000000005
25-04-2023,259.9,259.9,266.05,256.65,1.80M,0.27%,-398.05,256.4425,259.765
24-04-2023,259.2,254,261.2,250.2,1.19M,2.19%,-400.05,256.995,259.635
21-04-2023,253.65,260,260,250.55,1.12M,-2.24%,-406.4,257.42,258.69
20-04-2023,259.45,249.05,261.9,247.7,3.10M,4.60%,-394.65,258.2025,258.59000000000003
19-04-2023,248.05,247.75,252.35,246,765.71K,0.14%,-406.05,258.26750000000004,257.51000000000005
18-04-2023,247.7,249.45,251.7,246.2,497.79K,-0.26%,-410.05,258.2125,256.12
17-04-2023,248.35,244.5,251,243.25,811.88K,1.18%,-404.95,257.88500000000005,255.185
13-04-2023,245.45,244.45,247.4,243,495.06K,0.45%,-407.85,257.355,253.66000000000003
12-04-2023,244.35,243.3,247.8,241,946.57K,0.97%,-411.3,256.575,252.44
